epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12088.1,0.42978,0.33061,0.84275,0.99699,0.99009,0.99445,0.94054,0.34901,0.26198,0.84874,0.000456863,0.000456863,0.000456863
43,12370.4,0.44488,0.33498,0.84944,0.99684,0.99282,0.99406,0.9483,0.33498,0.26146,0.84184,0.00044925,0.00044925,0.00044925
44,12658.2,0.43306,0.32844,0.84458,0.99588,0.98725,0.99393,0.95752,0.32021,0.2597,0.8396,0.000441637,0.000441637,0.000441637
45,12945.6,0.42611,0.32307,0.84449,0.99191,0.99323,0.99409,0.94123,0.3222,0.24896,0.84273,0.000434024,0.000434024,0.000434024
46,13231.9,0.42197,0.32127,0.84193,0.99561,0.99217,0.99389,0.94466,0.3346,0.25016,0.84326,0.000426411,0.000426411,0.000426411
47,13519.2,0.43939,0.32291,0.84387,0.99241,0.9951,0.99401,0.94672,0.31553,0.2432,0.84118,0.000418797,0.000418797,0.000418797
48,13805.7,0.40672,0.31203,0.83305,0.9972,0.99123,0.99459,0.95313,0.29021,0.23211,0.84038,0.000411184,0.000411184,0.000411184
49,14093.1,0.44012,0.32006,0.84263,0.99474,0.99372,0.99444,0.9401,0.3464,0.26325,0.84242,0.000403571,0.000403571,0.000403571
50,14383.5,0.40242,0.30921,0.83323,0.99585,0.99197,0.99414,0.95465,0.29046,0.23254,0.83872,0.000395958,0.000395958,0.000395958
51,14670.9,0.40568,0.30424,0.83492,0.9971,0.99102,0.99403,0.952,0.31131,0.23189,0.84036,0.000388345,0.000388345,0.000388345
52,14957.3,0.3991,0.2997,0.83377,0.99544,0.98809,0.99394,0.94201,0.32374,0.23476,0.84279,0.000380732,0.000380732,0.000380732
53,15245.4,0.40596,0.30229,0.83694,0.98949,0.99469,0.99468,0.94705,0.3155,0.24029,0.84013,0.000373119,0.000373119,0.000373119
54,15533.6,0.40322,0.29688,0.83398,0.99224,0.99064,0.99451,0.9489,0.29989,0.23481,0.83958,0.000365506,0.000365506,0.000365506
55,15820.3,0.39496,0.29685,0.83697,0.99177,0.99459,0.99476,0.9464,0.30236,0.22211,0.84257,0.000357893,0.000357893,0.000357893
56,16105.7,0.38971,0.29347,0.83458,0.99196,0.99457,0.99461,0.95584,0.2848,0.22573,0.83807,0.00035028,0.00035028,0.00035028
57,16388.3,0.38858,0.29261,0.83079,0.99706,0.99421,0.99343,0.9558,0.28436,0.2211,0.83442,0.000342666,0.000342666,0.000342666
58,16669.4,0.3818,0.28953,0.83241,0.98978,0.99169,0.99363,0.94768,0.31048,0.22576,0.842,0.000335053,0.000335053,0.000335053
59,16956.8,0.36688,0.28295,0.83025,0.99646,0.99458,0.9941,0.95345,0.28141,0.21648,0.83702,0.00032744,0.00032744,0.00032744
60,17241.9,0.3838,0.28753,0.83301,0.99684,0.99312,0.99352,0.94837,0.32722,0.23084,0.84404,0.000319827,0.000319827,0.000319827
61,17526.6,0.37554,0.28282,0.82819,0.99538,0.99091,0.99368,0.95164,0.28746,0.2211,0.8408,0.000312214,0.000312214,0.000312214
62,17812.7,0.36403,0.27789,0.83019,0.99567,0.99148,0.99422,0.95315,0.2859,0.21512,0.83764,0.000304601,0.000304601,0.000304601
63,18099.4,0.37138,0.27862,0.82945,0.99659,0.99143,0.99462,0.95642,0.29126,0.21879,0.84026,0.000296988,0.000296988,0.000296988
64,18384.5,0.37383,0.27948,0.82826,0.99492,0.99101,0.99386,0.95223,0.29236,0.21439,0.84086,0.000289375,0.000289375,0.000289375
65,18668.3,0.36574,0.27381,0.82533,0.99536,0.99461,0.99446,0.9547,0.26857,0.20344,0.83588,0.000281762,0.000281762,0.000281762
66,18954.5,0.35247,0.26683,0.82788,0.99724,0.9939,0.99362,0.95684,0.27661,0.21073,0.83777,0.000274148,0.000274148,0.000274148
67,19240,0.36554,0.27259,0.82618,0.99425,0.99203,0.99284,0.95279,0.27921,0.20917,0.84151,0.000266535,0.000266535,0.000266535
68,19526.4,0.35523,0.26655,0.82314,0.99544,0.98837,0.99399,0.95205,0.28137,0.21396,0.84269,0.000258922,0.000258922,0.000258922
69,19812.3,0.34699,0.26466,0.824,0.99632,0.99146,0.99475,0.95552,0.27643,0.20185,0.84007,0.000251309,0.000251309,0.000251309
70,20097.2,0.34888,0.26488,0.82509,0.99509,0.99125,0.99417,0.95395,0.28901,0.20745,0.84219,0.000243696,0.000243696,0.000243696
71,20381,0.35629,0.26664,0.82688,0.99596,0.98888,0.99312,0.95353,0.27874,0.19933,0.84147,0.000236083,0.000236083,0.000236083
72,20663.7,0.33419,0.25848,0.82095,0.9958,0.99689,0.99456,0.95546,0.26609,0.19724,0.83847,0.00022847,0.00022847,0.00022847
73,20947.7,0.34501,0.26363,0.82416,0.99664,0.99064,0.99477,0.95208,0.27634,0.19605,0.84118,0.000220857,0.000220857,0.000220857
74,21234.7,0.34654,0.26227,0.82456,0.99469,0.98934,0.99407,0.95674,0.27999,0.20544,0.84097,0.000213244,0.000213244,0.000213244
75,21523.1,0.3416,0.25851,0.8218,0.99645,0.99056,0.99444,0.9516,0.29829,0.20806,0.84249,0.000205631,0.000205631,0.000205631
76,21811.7,0.3417,0.25612,0.82119,0.99433,0.98871,0.994,0.95521,0.27,0.19821,0.8422,0.000198018,0.000198018,0.000198018
77,22099.5,0.33714,0.25337,0.82139,0.99535,0.99362,0.99469,0.95385,0.27965,0.20065,0.84349,0.000190404,0.000190404,0.000190404
78,22383.9,0.34344,0.25649,0.8213,0.9933,0.9905,0.99405,0.95707,0.26509,0.20049,0.84216,0.000182791,0.000182791,0.000182791
79,22669,0.32804,0.25149,0.82226,0.99151,0.99644,0.9949,0.95531,0.26325,0.19381,0.84193,0.000175178,0.000175178,0.000175178
80,22955.6,0.32879,0.24996,0.82094,0.99274,0.99604,0.99446,0.95571,0.27127,0.19142,0.84383,0.000167565,0.000167565,0.000167565
81,23241.4,0.32232,0.24593,0.81954,0.99394,0.98986,0.99378,0.95489,0.2732,0.19163,0.84307,0.000159952,0.000159952,0.000159952
82,23527.1,0.33103,0.25057,0.81882,0.99296,0.99341,0.99371,0.95461,0.27361,0.19469,0.84002,0.000152339,0.000152339,0.000152339
